,file_name,id,n_vertices,n_triangles,n_quads,bounding_box,barycenter,classification,volume,surface_area,bounding_box_ratio,compactness,bounding_box_volume,diameter,eccentricity,angle_three_vertices,barycenter_vertice,two_vertices,square_area_triangle,cube_volume_tetrahedron
0,data/benchmark/db/9/m976/m976.off,976,3816,1889.0,0,"[0.025    0.025    0.025    0.747674 0.025    0.025    0.747674 0.025
 0.708802 0.025    0.025    0.708802 0.025    0.975    0.025    0.747674
 0.975    0.025    0.747674 0.975    0.708802 0.025    0.975    0.708802]",[0.40343025 0.7458832  0.35535598],plant,0.0014449766282528967,1.0730063760431747,1.3755605220794678,32.49948631607885,0.5167040228843689,32131.026114363813,1.6835572475500808,[340],[171 417 333  87   9],[591   8  27   2   8],[338   2],[190  63   2]
1,data/benchmark/db/9/m979/m979.off,979,3708,1070.0,0,"[0.025    0.025    0.025    0.480545 0.025    0.025    0.480545 0.025
 0.460652 0.025    0.025    0.460652 0.025    0.975    0.025    0.480545
 0.975    0.025    0.480545 0.975    0.460652 0.025    0.975    0.460652]",[0.24809103 0.73047066 0.23437184],plant,0.07289932652966379,0.5796390516659883,2.116565227508545,0.7212920635624915,0.21582992374897003,66891.52973295866,10.527121798696594,[330],[104 480 266  50  86   2],[614   3   1],[330],[216  32]
2,data/benchmark/db/9/m985/m985.off,985,152499,88945.0,0,"[0.2499    0.0260533 0.186911  0.753489  0.0260533 0.186911  0.753489
 0.0260533 0.332549  0.2499    0.0260533 0.332549  0.2499    0.752244
 0.186911  0.753489  0.752244  0.186911  0.753489  0.752244  0.332549
 0.2499    0.752244  0.332549 ]",[0.50294703 0.48542553 0.29035047],plant,0.018869549119748648,1.276057341782723,2.265798330307007,15.126199019604103,0.18849129974842072,5436854.227613702,13.949162703523058,[    2     1     1     2     1 13549],[32359  6476  1717    84    30],[25375    23    18],[13556],[10166     1]
3,data/benchmark/db/9/m943/m943.off,943,696,258.0,0,"[0.025    0.025    0.025    0.975    0.025    0.025    0.975    0.025
 0.934402 0.025    0.025    0.934402 0.025    0.564243 0.025    0.975
 0.564243 0.025    0.975    0.564243 0.934402 0.025    0.564243 0.934402]",[0.49951416 0.2728268  0.50913525],table,0.05085340751033941,1.7304854425046998,1.7279789447784424,22.979671771927475,0.5140491127967834,13373.586462382465,1.8237838150048236,[62],[ 11  31  33 103   7],[64  7 33  8  4],[53  9],[11 25  9  2]
4,data/benchmark/db/9/m948/m948.off,948,13791,9038.0,0,"[0.025    0.025    0.025    0.975    0.025    0.025    0.975    0.025
 0.961408 0.025    0.025    0.961408 0.025    0.893382 0.025    0.975
 0.893382 0.025    0.975    0.893382 0.961408 0.025    0.893382 0.961408]",[0.51297766 0.44666904 0.4229729 ],bed,0.19014503762000334,4.383324174828821,1.0913584232330322,193.13824208848962,0.8374320268630981,341949.3787775548,1.7650520367068268,[   2    1    1    1    1    3    2    1    6 1208],[  14   49  430  649  710 1200  625],[2026   40   23   71    9    9   39   79    2],[815 242 119  50],[201 256 221 192  50]
5,data/benchmark/db/9/m900/m900.off,900,864,348.0,0,"[0.025    0.025    0.025    0.975    0.025    0.025    0.975    0.025
 0.381252 0.025    0.025    0.381252 0.025    0.618426 0.025    0.975
 0.618426 0.025    0.975    0.618426 0.381252 0.025    0.618426 0.381252]",[0.49999237 0.22946459 0.20293729],table,0.005302666161797557,0.9513201320909868,2.557363748550415,11.823142373911896,0.22988176345825195,4785.6911834970015,11.50120505478211,[ 1  2 74],[178  52],[58 28  4 50  4],[46 17 14],[31 16 10  1]
6,data/benchmark/db/9/m987/m987.off,987,2550,982.0,0,"[0.025    0.025    0.025    0.553203 0.025    0.025    0.553203 0.025
 0.975    0.025    0.025    0.975    0.025    0.400042 0.025    0.553203
 0.400042 0.025    0.553203 0.400042 0.975    0.025    0.400042 0.975   ]",[0.25750753 0.1881779  0.80466956],plant,0.004465567847914426,0.4753088651573838,2.437244176864624,1.6069020231390125,0.21577182412147522,57793.618569217484,6.757372182676367,[227],[150 384  75  42   9  10   5   5],[410  15],[227],[154  16]
7,data/benchmark/db/9/m982/m982.off,982,996,600.0,0,"[0.025    0.025    0.025    0.357833 0.025    0.025    0.357833 0.025
 0.373255 0.025    0.025    0.373255 0.025    0.975    0.025    0.357833
 0.975    0.025    0.357833 0.975    0.373255 0.025    0.975    0.373255]",[0.18872847 0.62885493 0.20124303],plant,0.0011281565935902683,0.3375975192078352,2.7247347831726074,1.145547354792768,0.13022388517856598,7679.842175236836,17.611256491019518,[ 1  1  1 86],[64 77 78 42  4],[150  10   3   3],[89],[62  5]
8,data/benchmark/db/9/m924/m924.off,924,645,408.0,0,"[0.025    0.025    0.025    0.975    0.025    0.025    0.975    0.025
 0.975    0.025    0.025    0.975    0.025    0.336326 0.025    0.975
 0.336326 0.025    0.975    0.336326 0.975    0.025    0.336326 0.975   ]",[0.505205   0.20501478 0.49581087],table,0.00011060684993289364,2.059341503631365,2.898972988128662,830.4129341153591,0.31971994042396545,4021.8450639936023,3.8127745024126427,[ 1 57],[ 29 107  36],[57 37 10  3],[58],[24 19]
9,data/benchmark/db/9/m988/m988.off,988,9279,6000.0,0,"[0.025    0.025    0.025    0.272186 0.025    0.025    0.272186 0.025
 0.242736 0.025    0.025    0.242736 0.025    0.975    0.025    0.272186
 0.975    0.025    0.272186 0.975    0.242736 0.025    0.975    0.242736]",[0.12897602 0.8094965  0.13748264],plant,0.0010177154986625945,0.45160309744792876,4.016709804534912,2.8870715147864825,0.06441760808229446,118352.13956085652,18.713068129472713,[  1   1 823],[1237  977   27  208   12    3   10],[1516   28    1    1],[825],[619]
10,data/benchmark/db/9/m951/m951.off,951,1089,572.0,0,"[0.025    0.025    0.025    0.797947 0.025    0.025    0.797947 0.025
 0.975    0.025    0.025    0.975    0.025    0.536752 0.025    0.797947
 0.536752 0.025    0.797947 0.536752 0.975    0.025    0.536752 0.975   ]",[0.41148466 0.31742477 0.29785457],bed,0.027544242240000013,2.861075613043754,1.8164814710617065,141.11480895691378,0.4175921678543091,24652.7308054459,17.63776545604252,[97],[23 37 54 82 36  5 41 12],[147  17   4   1   5   2   4   1],[97],[47 21  5]
11,data/benchmark/db/9/m949/m949.off,949,2118,1388.0,0,"[0.025    0.025    0.025    0.956207 0.025    0.025    0.956207 0.025
 0.489954 0.025    0.025    0.489954 0.025    0.975    0.025    0.956207
 0.975    0.025    0.956207 0.975    0.489954 0.025    0.975    0.489954]",[0.40554097 0.42421404 0.25339842],bed,0.1119051073238124,3.8110447106221432,1.9899828433990479,165.46539393624795,0.4567849934101105,2237.6096876245188,5.992781967263436,[189],[ 44 107 173 124  91  21   4],[340   2   4   1   1   5],[169  15   4   1],[56 68 18]
12,data/benchmark/db/9/m916/m916.off,916,120,60.0,0,"[0.025    0.025    0.025    0.975    0.025    0.025    0.975    0.025
 0.975    0.025    0.025    0.975    0.025    0.931818 0.025    0.975
 0.931818 0.025    0.975    0.931818 0.975    0.025    0.931818 0.975   ]",[0.5        0.5431815  0.50000006],table,0.09018192432316009,3.0431430191866315,1.0463416576385498,93.84417945088569,0.8858095407485962,484.8299298572978,1.0478168837010229,[11],[ 3 19 10],[16  4],[8 3],[4 1 3]
13,data/benchmark/db/9/m904/m904.off,904,384,152.0,0,"[0.025    0.025    0.025    0.405951 0.025    0.025    0.405951 0.025
 0.405951 0.025    0.025    0.405951 0.025    0.975    0.025    0.405951
 0.975    0.025    0.405951 0.975    0.405951 0.025    0.975    0.405951]",[0.2154809  0.6276723  0.21546441],table,0.009710828071063302,1.5973969436403546,2.4017677307128906,41.362846176180504,0.16067631542682648,1957.5504499713625,10.136669936933188,[35],[63 26 13],[20  4 24 16],[32  3],[ 9 12  5]
