,x_data,y_data,classification,name,file_name
0,-2.6473062,-36.678513,winged_vehicle,m1202,data/benchmark/db/12/m1202/m1202.off
1,-17.97317,-17.506498,winged_vehicle,m1237,data/benchmark/db/12/m1237/m1237.off
2,11.670208,-40.823837,winged_vehicle,m1279,data/benchmark/db/12/m1279/m1279.off
3,-10.136144,-28.114433,winged_vehicle,m1248,data/benchmark/db/12/m1248/m1248.off
4,12.31457,-43.31843,winged_vehicle,m1281,data/benchmark/db/12/m1281/m1281.off
5,-2.0566013,-40.37229,winged_vehicle,m1257,data/benchmark/db/12/m1257/m1257.off
6,-18.478518,-28.586704,winged_vehicle,m1225,data/benchmark/db/12/m1225/m1225.off
7,-8.078114,-42.16305,winged_vehicle,m1256,data/benchmark/db/12/m1256/m1256.off
8,-15.741851,-32.638737,winged_vehicle,m1262,data/benchmark/db/12/m1262/m1262.off
9,-16.727879,-12.100734,winged_vehicle,m1209,data/benchmark/db/12/m1209/m1209.off
10,-1.010225,-23.937744,winged_vehicle,m1275,data/benchmark/db/12/m1275/m1275.off
11,-20.550203,-23.019585,winged_vehicle,m1240,data/benchmark/db/12/m1240/m1240.off
12,-2.2670937,-33.24397,winged_vehicle,m1231,data/benchmark/db/12/m1231/m1231.off
13,-4.285726,-24.10083,winged_vehicle,m1291,data/benchmark/db/12/m1291/m1291.off
14,-3.879294,-34.176186,winged_vehicle,m1230,data/benchmark/db/12/m1230/m1230.off
15,-18.055107,-28.144596,winged_vehicle,m1266,data/benchmark/db/12/m1266/m1266.off
16,7.108093,-25.813711,winged_vehicle,m1200,data/benchmark/db/12/m1200/m1200.off
17,13.764175,-42.654385,winged_vehicle,m1276,data/benchmark/db/12/m1276/m1276.off
18,-15.513512,-31.318132,winged_vehicle,m1220,data/benchmark/db/12/m1220/m1220.off
19,-2.6158385,-33.055183,winged_vehicle,m1218,data/benchmark/db/12/m1218/m1218.off
20,-6.7817755,-25.989357,winged_vehicle,m1208,data/benchmark/db/12/m1208/m1208.off
21,-3.012471,-41.256817,winged_vehicle,m1295,data/benchmark/db/12/m1295/m1295.off
22,-11.903783,-30.07886,winged_vehicle,m1217,data/benchmark/db/12/m1217/m1217.off
23,5.9440637,-27.139538,winged_vehicle,m1255,data/benchmark/db/12/m1255/m1255.off
24,-26.294353,-35.16942,winged_vehicle,m1278,data/benchmark/db/12/m1278/m1278.off
25,-18.063143,-22.450531,winged_vehicle,m1246,data/benchmark/db/12/m1246/m1246.off
26,-2.996866,-40.561634,winged_vehicle,m1296,data/benchmark/db/12/m1296/m1296.off
27,-17.706707,-31.964436,winged_vehicle,m1227,data/benchmark/db/12/m1227/m1227.off
28,-18.237062,-36.358086,winged_vehicle,m1221,data/benchmark/db/12/m1221/m1221.off
29,-1.9724178,-24.108728,winged_vehicle,m1274,data/benchmark/db/12/m1274/m1274.off
30,-15.164068,-33.019356,winged_vehicle,m1242,data/benchmark/db/12/m1242/m1242.off
31,9.683135,-25.955584,winged_vehicle,m1233,data/benchmark/db/12/m1233/m1233.off
32,-13.244418,-32.919125,winged_vehicle,m1244,data/benchmark/db/12/m1244/m1244.off
33,-20.72665,-21.262674,winged_vehicle,m1211,data/benchmark/db/12/m1211/m1211.off
34,-17.01922,-32.97672,winged_vehicle,m1228,data/benchmark/db/12/m1228/m1228.off
35,-13.236638,-30.045456,winged_vehicle,m1243,data/benchmark/db/12/m1243/m1243.off
36,-1.4968666,-33.982765,winged_vehicle,m1251,data/benchmark/db/12/m1251/m1251.off
37,-4.687675,-23.847971,winged_vehicle,m1288,data/benchmark/db/12/m1288/m1288.off
38,-16.756483,-31.59053,winged_vehicle,m1253,data/benchmark/db/12/m1253/m1253.off
39,-19.905888,-23.913116,winged_vehicle,m1263,data/benchmark/db/12/m1263/m1263.off
40,-9.569581,-43.757812,winged_vehicle,m1207,data/benchmark/db/12/m1207/m1207.off
41,-2.549698,-34.230816,winged_vehicle,m1223,data/benchmark/db/12/m1223/m1223.off
42,-24.062569,-31.199764,winged_vehicle,m1293,data/benchmark/db/12/m1293/m1293.off
43,-3.6675892,-34.490253,winged_vehicle,m1212,data/benchmark/db/12/m1212/m1212.off
44,-20.916735,-22.82759,winged_vehicle,m1235,data/benchmark/db/12/m1235/m1235.off
45,12.473274,-41.593998,winged_vehicle,m1270,data/benchmark/db/12/m1270/m1270.off
46,-1.2905082,-36.19757,winged_vehicle,m1229,data/benchmark/db/12/m1229/m1229.off
47,-0.17227481,-22.902615,winged_vehicle,m1283,data/benchmark/db/12/m1283/m1283.off
48,11.860382,-45.12034,winged_vehicle,m1272,data/benchmark/db/12/m1272/m1272.off
49,-15.929276,-29.635048,winged_vehicle,m1205,data/benchmark/db/12/m1205/m1205.off
50,21.264357,-35.29547,winged_vehicle,m1297,data/benchmark/db/12/m1297/m1297.off
51,20.071718,-34.327274,winged_vehicle,m1271,data/benchmark/db/12/m1271/m1271.off
52,0.33522448,-24.002039,winged_vehicle,m1290,data/benchmark/db/12/m1290/m1290.off
53,-10.532606,-42.63091,winged_vehicle,m1224,data/benchmark/db/12/m1224/m1224.off
54,-21.506723,-13.562951,winged_vehicle,m1292,data/benchmark/db/12/m1292/m1292.off
55,13.218662,-43.66007,winged_vehicle,m1269,data/benchmark/db/12/m1269/m1269.off
56,-18.444525,-35.752316,winged_vehicle,m1222,data/benchmark/db/12/m1222/m1222.off
57,-5.695139,-28.378359,winged_vehicle,m1201,data/benchmark/db/12/m1201/m1201.off
58,-18.704363,-19.652409,winged_vehicle,m1234,data/benchmark/db/12/m1234/m1234.off
59,-19.036362,-19.293705,winged_vehicle,m1232,data/benchmark/db/12/m1232/m1232.off
60,-19.722406,-16.997448,winged_vehicle,m1267,data/benchmark/db/12/m1267/m1267.off
61,-2.7387397,-32.31387,winged_vehicle,m1258,data/benchmark/db/12/m1258/m1258.off
62,-9.584995,-43.74768,winged_vehicle,m1265,data/benchmark/db/12/m1265/m1265.off
63,1.3605332,-24.36361,winged_vehicle,m1287,data/benchmark/db/12/m1287/m1287.off
64,11.957327,-44.94174,winged_vehicle,m1282,data/benchmark/db/12/m1282/m1282.off
65,11.97961,-43.328247,winged_vehicle,m1268,data/benchmark/db/12/m1268/m1268.off
66,-12.289898,-28.534363,winged_vehicle,m1215,data/benchmark/db/12/m1215/m1215.off
